place_id,review_type,1st_topic,2nd_topic,3rd_topic,name,region,reviews_link
ChIJ-21zmCEOsRIRUDHbDhKNBKk,negatif,examen et consultation,attente,mauvaise expérience,centre hospitalier de béziers service des urgences,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ-21zmCEOsRIRUDHbDhKNBKk&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ-21zmCEOsRIRUDHbDhKNBKk,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de béziers service des urgences,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ-21zmCEOsRIRUDHbDhKNBKk&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ-5-XIckCAUgR6gNzz6psTPw,negatif,examen et consultation,attente,personnel désagréable,centre hospitalier de saintonge,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-5-XIckCAUgR6gNzz6psTPw&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-5-XIckCAUgR6gNzz6psTPw,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de saintonge,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-5-XIckCAUgR6gNzz6psTPw&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-5sjkWoarxIRVzRTvd3PlkE,negatif,mauvaise expérience,examen et consultation,prise en charge d'urgence 2,centre hospitalier du val d'ariège urgences,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ-5sjkWoarxIRVzRTvd3PlkE&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-6tpSn6T-UcROJU9Jd6tF00,negatif,prise en charge d'urgence 1,examen et consultation,personnel agréable et à l'écoute,centre hospitalier aubusson - site le mont,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-6tpSn6T-UcROJU9Jd6tF00&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-6tpSn6T-UcROJU9Jd6tF00,positif,professionnalisme,personnel agréable et à l'écoute,attente,centre hospitalier aubusson - site le mont,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-6tpSn6T-UcROJU9Jd6tF00&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-TmzZuNSAUgR1b0vhrRhJK0,negatif,prise en charge d'urgence 1,mauvaise expérience,maternité,hôpital marius lacroix,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-TmzZuNSAUgR1b0vhrRhJK0&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-TmzZuNSAUgR1b0vhrRhJK0,positif,personnel agréable et à l'écoute,locaux et accès,attente,hôpital marius lacroix,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-TmzZuNSAUgR1b0vhrRhJK0&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-WB_hdYg1xIR-xR4gDYGB_w,negatif,prise en charge d'urgence 2,examen et consultation,locaux et accès,clinique du cap,Corse,https://search.google.com/local/reviews?placeid=ChIJ-WB_hdYg1xIR-xR4gDYGB_w&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
